type,name,label::English,label::Arabic,relevant,constraint,required,repeat_count,constraint_message,constraint_message::Arabic,read_only,appearance,choice_filter,default,calculation,hint,hint::Arabic
start,start,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,
today,date_assessment,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,,
integer,enumerator_num,Please record your enumerator number,,,.>0,yes,,,,,,,,,To be filled in by enumerator,
select_one governorate,governorate,Current Governorate,,,,yes,,,,,,,,,To be filled in by enumerator,
select_one camp_name,camp_name,Name of the Camp,,,,yes,,,,,,filter=${governorate},,,,
select_one yes_no,hhh,Are you the head of household? ,,,,yes,,,,,,,,,,
select_one yes_no,will_to_response,"If no, are you willing and able to respond to the questions on behalf of the household?",,"selected(${hhh}, 'no')",.='yes',yes,,End survey if the person is not willing respond,,,,,,,,
integer,age_respondent,What is your age? ,,,.> 17 and .< 120,yes,,Age cannot be below 18 and above 120 (end survey if it is),,,,,,,,
select_one sex,gender_respondent,Respondent's sex,,,,yes,,,,,,,,,,
select_one yes_no,consent,"8. Hello, my name is __ and I work for REACH initiative. We are conducting interviews in order to inform the humanitarian response in Iraq. This interview will take around 45 minutes,  and your answers will remain anonymous and you are free to withdraw at any moment during the survey. The information you provide us will be used in reports and factsheets and shared with humanitarian decision-makers in Iraq. Do you agree to participate?",,,.='yes',yes,,,,,,,,,,
begin group,household_profile,Household Profile,,"selected(${consent},'yes')",,,,,,,,,,,,
date,displace_date_idp,1.1 When were you initially displaced from your location? ,,,. <=today() and . >= date('2014-01-01'),yes,,Date cannot be before 01/01/2014,,,month-year,,,,,
select_one yes_no,idp_first_place_displacement,1.2 Is this site your first place of displacement? ,,,,yes,,,,,,,,,Place of displacement should not include transit areas. Displacement implies settling down somewhere (in or out of camp).,
date,arrival_date_idp,1.3 When did you arrive to this camp?,,,.<=today (),yes,,,,,month-year,,,,,
select_one governorate_origin,governorate_origin,1.4 What governorate in Iraq were you living in before your displacement (forced to leave your home)?,,,,yes,,,,,,,,,,
select_one district_origin,district_origin,1.5 What district in Iraq were you living in before your displacement?,,,,yes,,,,,,filter=${governorate_origin},,,,
select_one subdistrict_origin,sub_district_origin,1.6 Which sub-district in Iraq were you living in before your displacement?,,,,yes,,,,,,filter=${district_origin},,,,
select_one yes_no,moved_within_last_two_weeks,1.7 Have you moved to this camp within last two weeks?,,,,yes,,,,,,,,,,
select_one yes_no,first_time_in_area,1.8 Is this your first time staying in a formal camp?,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,
begin group,intentions,Intention survey,,"selected(${consent},'yes')",,,,,,,,,,,,
select_one ynd,safe_in_aoo,2.1 Do you think it is currently safe in your area of origin?,,,,yes,,,,,,,,,,
select_multiple why_not_safe_in_aoo,why_not_safe_in_aoo,"If no, why don't you think it is safe in your area of origin?",,"selected(${safe_in_aoo},'no')",,yes,,,,,,,,,,
text,why_not_safe_other,"If other, please specify",,"selected(${why_not_safe_in_aoo},'other')",,,,,,,,,,,,
select_one yndd,assistance_provided_in_aoo,2.2 Is assistance provided to IDPs who return to your area of origin?,,,,yes,,,,,,,,,,
