camp_name,camp_name_label,governorate,surveyed_pop,population_list
As Salamyiah 2,as.salamyiah,ninewa,98,3087
Baharka,baharka,erbil,91,929
Bajet Kandala,bajed.kandala,duhok,99,2050
Chamishku,chamishku,duhok,99,5040
Debaga 1,debaga.1,erbil,96,1947
Hamam Al Alil 2,haa.2,ninewa,98,2191
Harshm,harshm,erbil,75,290
Hasansham U2,hasansham.u2,ninewa,92,981
Hasansham U3,hasansham.u3,ninewa,93,1258
Kabarto 1,kabarto.1,duhok,91,2583
Kabarto 2,kabarto.2,duhok,70,2656
Al Karamah,karamah,salah.al.din,68,202
Khanke,khanke,duhok,98,2816
Khazer M1,khazer.m1,ninewa,93,1206
Laylan IDP,laylan.idp,kirkuk,93,1394
Mamilian,mamilian,ninewa,69,198
Mamrashan,mamrashan,ninewa,96,1722
Qayyarah-Jad'ah 5,qayyarah.jadah.five,ninewa,100,4320
Qayyarah-Jad'ah 1,qayyarah.jadah.one,ninewa,95,1224
Rwanga Community,rwanga.community,duhok,98,2610
Shariya,shariya,duhok,98,3111
Sheikhan,sheikhan,ninewa,92,859
Yahyawa,yahyawa,kirkuk,83,385
