"","district","idp_settlement","n","type","Population","source","weeights","verif"
"1","afgooye","no",126,"HC",129504,"OCHA pre-war settlement list",1.30414142464319,164.321819505042
"2","afgooye","yes",145,"IDP",18978,"DSA IDP Site Master List 2019",0.166071264504502,24.0803333531527
"3","afmadow","no",56,"HC",62809,"OCHA pre-war settlement list",1.42313436006557,79.6955241636721
"4","afmadow","yes",45,"IDP",10307,"DSA IDP Site Master List 2019",0.290624226731473,13.0780902029163
"5","baardheere","no",66,"HC",103945,"OCHA pre-war settlement list",1.99835076212126,131.891150300003
"6","baardheere","yes",52,"IDP",4070,"DSA IDP Site Master List 2019",0.099312317853194,5.16424052836609
"7","badhaadhe","no",80,"HC",34001,"OCHA pre-war settlement list",0.539279306526337,43.142344522107
"8","baidoa","no",76,"HC",395348,"OCHA pre-war settlement list",6.60051779519099,501.639352434515
"9","baidoa","yes",169,"IDP",323191,"DSA IDP Site Master List 2019",2.42652408386253,410.082570172768
"10","baki","no",111,"HC",28760,"OCHA pre-war settlement list",0.328759230572656,36.4922745935648
"11","baki","yes",30,"IDP",8388,"DSA IDP Site Master List 2020",0.35477190460225,10.6431571380675
"12","balcad","no",37,"HC",153099,"OCHA pre-war settlement list",5.25028262601979,194.260457162732
"13","banadir_daynile","yes",158,"IDP",416464,"DSA IDP Site Master List 2019",3.34450948186088,528.432498134018
"14","banadir_dharkenley","yes",139,"IDP",26193,"DSA IDP Site Master List 2019",0.239101607055473,33.2351233807108
"15","banadir_hc","no",172,"HC",521430,"OCHA pre-war settlement list",3.84662296255347,661.619149559196
"16","banadir_hodan","yes",94,"IDP",45010,"DSA IDP Site Master List 2019",0.607565649489669,57.1111710520289
"17","banadir_kahda","yes",212,"IDP",298622,"DSA IDP Site Master List 2019",1.78730220557895,378.908067582737
"18","banadir_other","yes",133,"IDP",59241,"DSA IDP Site Master List 2019",0.565174803977269,75.1682489289768
"19","bandarbayla","no",91,"HC",1771,"OCHA pre-war settlement list",0.0246938736283617,2.24714250018092
"20","belet_weyne","no",154,"HC",165462,"OCHA pre-war settlement list",1.36329424408008,209.947313588332
"21","belet_weyne","yes",141,"IDP",41828,"DSA IDP Site Master List 2019",0.376409034834539,53.0736739116699
"22","belet_xaawo","no",122,"HC",58431,"OCHA pre-war settlement list",0.607708821671887,74.1404762439702
"23","belet_xaawo","yes",69,"IDP",7620,"DSA IDP Site Master List 2019",0.140125744493642,9.66867637006132
"24","berbera","no",122,"HC",72408,"OCHA pre-war settlement list",0.753075941873629,91.8752649085827
"25","berbera","yes",97,"IDP",7920,"DSA IDP Site Master List 2019",0.103601370309935,10.0493329200637
"26","borama","no",155,"HC",255910,"OCHA pre-war settlement list",2.09492081099178,324.712725703726
"27","borama","yes",94,"IDP",14398,"DSA IDP Site Master List 2019",0.19435081584875,18.2689766897825
"28","bossaso","no",35,"HC",214433,"OCHA pre-war settlement list",7.77384057015883,272.084419955559
"29","bossaso","yes",113,"IDP",59266,"DSA IDP Site Master List 2019",0.665486462903926,75.1999703081436
"30","burco","no",123,"HC",344504,"OCHA pre-war settlement list",3.55386731983826,437.125680340106
"31","burco","yes",123,"IDP",72548,"DSA IDP Site Master List 2019",0.748397598633473,92.0529046319172
"32","burtinle","no",106,"HC",34613,"OCHA pre-war settlement list",0.414329093246339,43.9188838841119
"33","burtinle","yes",47,"IDP",6769,"DSA IDP Site Master List 2019",0.182742140919599,8.58888062322114
"34","buuhoodle","no",73,"HC",19539,"OCHA pre-war settlement list",0.339618645228181,24.7921611016572
"35","buuhoodle","yes",94,"IDP",18680,"DSA IDP Site Master List 2019",0.25215121822855,23.7022145134837
"36","buur_hakaba","no",187,"HC",129461,"OCHA pre-war settlement list",0.878434538678477,164.267258732875
"37","cabudwaaq","no",31,"HC",29165,"OCHA pre-war settlement list",1.19374712696994,37.006160936068
"38","cabudwaaq","yes",136,"IDP",15404,"DSA IDP Site Master List 2019",0.143716507260715,19.5454449874573
"39","cadaado","no",79,"HC",43123,"OCHA pre-war settlement list",0.692618244968528,54.7168413525137
"40","cadaado","yes",161,"IDP",3650,"DSA IDP Site Master List 2019",0.0287659711699547,4.63132135836271
"41","caynabo","no",147,"HC",29720,"OCHA pre-war settlement list",0.256533167031106,37.7103755535725
"42","caynabo","yes",118,"IDP",29260,"DSA IDP Site Master List 2019",0.314633069295781,37.1267021769021
"43","ceel_afweyn","no",51,"HC",50068,"OCHA pre-war settlement list",1.24566746049156,63.5290404850696
"44","ceel_afweyn","yes",71,"IDP",15440,"DSA IDP Site Master List 2019",0.275931320752924,19.5911237734576
"45","ceel_barde","no",108,"HC",24717,"OCHA pre-war settlement list",0.290391603284249,31.3622931546989
"46","ceel_barde","yes",90,"IDP",3606,"DSA IDP Site Master List 2019",0.0508387970114336,4.57549173102902
"47","ceel_waaq","no",78,"HC",19975,"OCHA pre-war settlement list",0.324940794286249,25.3453819543274
"48","ceel_waaq","yes",59,"IDP",300,"DSA IDP Site Master List 2019",0.00645180593224431,0.380656550002414
"49","ceerigaabo","no",145,"HC",98817,"OCHA pre-war settlement list",0.864720420726174,125.384461005295
"50","ceerigaabo","yes",105,"IDP",11202,"DSA IDP Site Master List 2019",0.135368719781811,14.2137155770902
"51","dhuusamarreeb","no",99,"HC",86704,"OCHA pre-war settlement list",1.11126079162994,110.014818371364
"52","dhuusamarreeb","yes",87,"IDP",3506,"DSA IDP Site Master List 2019",0.0511334047627764,4.44860621436155
"53","doolow","no",60,"HC",29323,"OCHA pre-war settlement list",0.620110667540044,37.2066400524026
"54","doolow","yes",67,"IDP",30000,"DSA IDP Site Master List 2019",0.568144104481215,38.0656550002414
"55","eyl","no",86,"HC",7898,"OCHA pre-war settlement list",0.116528117516243,10.0214181063969
