"","dependent.var","dependent.var.value","independent_repeat.value","independent_methode","repeat_methode","verif","difference"
"1","safe_in_aoo","no","al.anbar",0.2622,0.147,FALSE,0.1152
"2","safe_in_aoo","yes","al.anbar",0.7378,0.853,FALSE,0.1152
"3","safe_in_aoo","yes","diyala",1,NA,NA,NA
"4","safe_in_aoo","do_not_know","erbil",0.0384,0.0231,FALSE,0.0153
"5","safe_in_aoo","no","erbil",0.4972,0.2996,FALSE,0.1976
"6","safe_in_aoo","yes","erbil",0.4644,0.6773,FALSE,0.2129
"7","safe_in_aoo","do_not_know","kirkuk",0.0828,0.063,FALSE,0.0198
"8","safe_in_aoo","no","kirkuk",0.3663,0.5641,FALSE,0.1978
"9","safe_in_aoo","yes","kirkuk",0.5509,0.3729,FALSE,0.178
"10","safe_in_aoo","do_not_know","ninewa",0.1225,0.1476,FALSE,0.0251
"11","safe_in_aoo","no","ninewa",0.6278,0.6025,FALSE,0.0253
"12","safe_in_aoo","yes","ninewa",0.2497,0.2499,FALSE,0.000200000000000006
"13","safe_in_aoo","do_not_know","salah.al.din",0.0749,0.0253,FALSE,0.0496
"14","safe_in_aoo","no","salah.al.din",0.375,0.3302,FALSE,0.0448
"15","safe_in_aoo","yes","salah.al.din",0.55,0.6444,FALSE,0.0943999999999999
"16","why_not_safe_in_aoo","gender_based_violence","al.anbar",0,NA,NA,NA
"17","why_not_safe_in_aoo","gender_based_violence","erbil",0.0374,0.0164,FALSE,0.021
"18","why_not_safe_in_aoo","gender_based_violence","kirkuk",0,0,TRUE,0
"19","why_not_safe_in_aoo","gender_based_violence","ninewa",0.0275,0.0363,FALSE,0.0088
"20","why_not_safe_in_aoo","gender_based_violence","salah.al.din",0.0296,0.0058,FALSE,0.0238
"21","why_not_safe_in_aoo","sporadic_clashes","al.anbar",0.5,NA,NA,NA
"22","why_not_safe_in_aoo","sporadic_clashes","erbil",0.0934,0.0409,FALSE,0.0525
"23","why_not_safe_in_aoo","sporadic_clashes","kirkuk",0.1145,0.1994,FALSE,0.0849
"24","why_not_safe_in_aoo","sporadic_clashes","ninewa",0.1857,0.2039,FALSE,0.0182
"25","why_not_safe_in_aoo","sporadic_clashes","salah.al.din",0.3636,0.2895,FALSE,0.0741
"26","why_not_safe_in_aoo","exploitative_work","al.anbar",1,NA,NA,NA
"27","why_not_safe_in_aoo","exploitative_work","erbil",0.07,0.2059,FALSE,0.1359
"28","why_not_safe_in_aoo","exploitative_work","kirkuk",0.1625,0.05,FALSE,0.1125
"29","why_not_safe_in_aoo","exploitative_work","ninewa",0.17,0.1629,FALSE,0.00710000000000002
"30","why_not_safe_in_aoo","exploitative_work","salah.al.din",0.1518,0.2132,FALSE,0.0614
"31","why_not_safe_in_aoo","close_conflict","al.anbar",0,NA,NA,NA
"32","why_not_safe_in_aoo","close_conflict","erbil",0.0374,0.0164,FALSE,0.021
"33","why_not_safe_in_aoo","close_conflict","kirkuk",0.3977,0.1876,FALSE,0.2101
"34","why_not_safe_in_aoo","close_conflict","ninewa",0.1804,0.1825,FALSE,0.00209999999999999
"35","why_not_safe_in_aoo","close_conflict","salah.al.din",0.2949,0.1667,FALSE,0.1282
"36","why_not_safe_in_aoo","land_contaminated","al.anbar",0.5,NA,NA,NA
"37","why_not_safe_in_aoo","land_contaminated","erbil",0.1647,0.2344,FALSE,0.0697
"38","why_not_safe_in_aoo","land_contaminated","kirkuk",0.2844,0.0874,FALSE,0.197
"39","why_not_safe_in_aoo","land_contaminated","ninewa",0.2292,0.2258,FALSE,0.00339999999999999
"40","why_not_safe_in_aoo","land_contaminated","salah.al.din",0.1726,0.0868,FALSE,0.0858
"41","why_not_safe_in_aoo","fear_armed_actors","al.anbar",0.5,NA,NA,NA
"42","why_not_safe_in_aoo","fear_armed_actors","erbil",0.3737,0.1636,FALSE,0.2101
"43","why_not_safe_in_aoo","fear_armed_actors","kirkuk",0.1945,0.1251,FALSE,0.0694
"44","why_not_safe_in_aoo","fear_armed_actors","ninewa",0.3813,0.3899,FALSE,0.00860000000000005
"45","why_not_safe_in_aoo","fear_armed_actors","salah.al.din",0.1807,0.3052,FALSE,0.1245
"46","why_not_safe_in_aoo","fear_extremists","al.anbar",0.5,NA,NA,NA
"47","why_not_safe_in_aoo","fear_extremists","erbil",0.6726,0.2945,FALSE,0.3781
"48","why_not_safe_in_aoo","fear_extremists","kirkuk",0.3093,0.7877,FALSE,0.4784
"49","why_not_safe_in_aoo","fear_extremists","ninewa",0.3212,0.3335,FALSE,0.0123
"50","why_not_safe_in_aoo","fear_extremists","salah.al.din",0.2753,0.5716,FALSE,0.2963
"51","why_not_safe_in_aoo","fear_community_violence","al.anbar",0,NA,NA,NA
"52","why_not_safe_in_aoo","fear_community_violence","erbil",0.1487,0.2898,FALSE,0.1411
"53","why_not_safe_in_aoo","fear_community_violence","kirkuk",0.1132,0.1001,FALSE,0.0131
"54","why_not_safe_in_aoo","fear_community_violence","ninewa",0.1727,0.1708,FALSE,0.00189999999999999
"55","why_not_safe_in_aoo","fear_community_violence","salah.al.din",0.3179,0.2916,FALSE,0.0263
"56","why_not_safe_in_aoo","discrimination","al.anbar",0,NA,NA,NA
"57","why_not_safe_in_aoo","discrimination","erbil",0.0374,0.0164,FALSE,0.021
"58","why_not_safe_in_aoo","discrimination","kirkuk",0,0,TRUE,0
"59","why_not_safe_in_aoo","discrimination","ninewa",0.1203,0.12,FALSE,0.000300000000000009
"60","why_not_safe_in_aoo","discrimination","salah.al.din",0.036,0.0142,FALSE,0.0218
"61","why_not_safe_in_aoo","poor_infrastructure","al.anbar",0,NA,NA,NA
"62","why_not_safe_in_aoo","poor_infrastructure","erbil",0.2008,0.2631,FALSE,0.0623
"63","why_not_safe_in_aoo","poor_infrastructure","kirkuk",0.4719,0.3132,FALSE,0.1587
"64","why_not_safe_in_aoo","poor_infrastructure","ninewa",0.3657,0.3443,FALSE,0.0214
"65","why_not_safe_in_aoo","poor_infrastructure","salah.al.din",0.2615,0.2212,FALSE,0.0403
"66","why_not_safe_in_aoo","restrictions_on_households","al.anbar",0,NA,NA,NA
"67","why_not_safe_in_aoo","restrictions_on_households","erbil",0,0,TRUE,0
"68","why_not_safe_in_aoo","restrictions_on_households","kirkuk",0,0,TRUE,0
"69","why_not_safe_in_aoo","restrictions_on_households","ninewa",0.0166,0.0196,FALSE,0.003
"70","why_not_safe_in_aoo","restrictions_on_households","salah.al.din",0.0592,0.0115,FALSE,0.0477
"71","why_not_safe_in_aoo","other","al.anbar",0,NA,NA,NA
"72","why_not_safe_in_aoo","other","erbil",0,0,TRUE,0
"73","why_not_safe_in_aoo","other","kirkuk",0,0,TRUE,0
"74","why_not_safe_in_aoo","other","ninewa",0,0,TRUE,0
"75","why_not_safe_in_aoo","other","salah.al.din",0,0,TRUE,0
"76","assistance_provided_in_aoo","no","al.anbar",0.8263,0.801,FALSE,0.0253
"77","assistance_provided_in_aoo","yes","al.anbar",0.1737,0.199,FALSE,0.0253
"78","assistance_provided_in_aoo","no","diyala",1,NA,NA,NA
"79","assistance_provided_in_aoo","do_not_know","erbil",0.2235,0.3095,FALSE,0.086
"80","assistance_provided_in_aoo","no","erbil",0.7381,0.6674,FALSE,0.0707
"81","assistance_provided_in_aoo","yes","erbil",0.0384,0.0231,FALSE,0.0153
"82","assistance_provided_in_aoo","do_not_know","kirkuk",0.205,0.2065,FALSE,0.0015
"83","assistance_provided_in_aoo","no","kirkuk",0.3834,0.5564,FALSE,0.173
"84","assistance_provided_in_aoo","yes","kirkuk",0.4116,0.2371,FALSE,0.1745
